InstancecrimeView |/instancecrimeview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
InterviewView |/interviewview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
InvestigationdiaryView |/investigationdiaryview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
IssueView |/issueview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
JudicialofficerView |/judicialofficerview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
JudicialrankView |/judicialrankview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
JudicialroleView |/judicialroleview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
LawView |/lawview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
LawfirmView |/lawfirmview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
LawyerView |/lawyerview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
LegalreferenceView |/legalreferenceview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
NextofkinView |/nextofkinview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
NotificationView |/notificationview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
NotificationregisterView |/notificationregisterview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
NotificationtypeView |/notificationtypeview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
NotifyeventView |/notifyeventview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
