"List of registered views"|"B"|"C"
"View:FeeclassView "|" Route:/feeclassview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:FeetypeView "|" Route:/feetypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:HealtheventView "|" Route:/healtheventview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:HealtheventtypeView "|" Route:/healtheventtypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:HearingView "|" Route:/hearingview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:HearingtypeView "|" Route:/hearingtypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:InstancecrimeView "|" Route:/instancecrimeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:InterviewView "|" Route:/interviewview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:InvestigationdiaryView "|" Route:/investigationdiaryview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:IssueView "|" Route:/issueview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:JudicialofficerView "|" Route:/judicialofficerview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:JudicialrankView "|" Route:/judicialrankview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:JudicialroleView "|" Route:/judicialroleview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:LawView "|" Route:/lawview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:LawfirmView "|" Route:/lawfirmview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:LawyerView "|" Route:/lawyerview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:LegalreferenceView "|" Route:/legalreferenceview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:NextofkinView "|" Route:/nextofkinview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:NotificationView "|" Route:/notificationview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:NotificationregisterView "|" Route:/notificationregisterview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:NotificationtypeView "|" Route:/notificationtypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:NotifyeventView "|" Route:/notifyeventview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PartyView "|" Route:/partyview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PartytypeView "|" Route:/partytypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PaymentView "|" Route:/paymentview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PersonaleffectView "|" Route:/personaleffectview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PersonaleffectscategoryView "|" Route:/personaleffectscategoryview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PoliceofficerView "|" Route:/policeofficerview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PoliceofficerrankView "|" Route:/policeofficerrankview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PolicestationView "|" Route:/policestationview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PolicestationrankView "|" Route:/policestationrankview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PrisonView "|" Route:/prisonview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PrisonofficerView "|" Route:/prisonofficerview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:PrisonofficerrankView "|" Route:/prisonofficerrankview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:ProsecutorView "|" Route:/prosecutorview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:ProsecutorteamView "|" Route:/prosecutorteamview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:ReleasetypeView "|" Route:/releasetypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:ReligionView "|" Route:/religionview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SchedulestatustypeView "|" Route:/schedulestatustypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SeizureView "|" Route:/seizureview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SettlementView "|" Route:/settlementview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SubcountyView "|" Route:/subcountyview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SysuserextraView "|" Route:/sysuserextraview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SysviewfldView "|" Route:/sysviewfldview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SysviewlistView "|" Route:/sysviewlistview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SyswkflowView "|" Route:/syswkflowview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:SyswkflowgrpView "|" Route:/syswkflowgrpview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
