county_code,district_code,district_name
42,42705,SIAYA
42,42712,BONDO
42,42721,RARIEDA
42,42725,UGENYA
42,42726,GEM
42,42738,UGUNJA
43,43706,NYAMIRA
43,43715,NORTH MASABA
43,43720,BORABU
43,43722,MANGA
43,43728,NYAMIRA NORTH
44,44707,MIGORI
44,44708,KURIA WEST
44,44717,RONGO
44,44718,KURIA EAST
44,44729,NYATIKE
44,44736,URIRI
44,44739,AWENDO
45,45801,GARISSA
45,45804,IJARA
45,45805,LAGDERA
45,45806,FAFI
45,45815,DADAAB
45,45816,BALAMBALA
45,45821,HULUGHO
46,46802,WAJIR EAST
46,46807,WAJIR NORTH
46,46808,WAJIR WEST
46,46809,WAJIR SOUTH
46,46813,ELDAS
46,46818,TABAARJI
46,46819,BUNA
46,46820,HABASWEIN
47,47803,MANDERA EAST
47,47810,MANDERA WEST
47,47811,MANDERA CENTRAL
47,47812,MANDERA NORTH
47,47814,LAFEY
47,47817,BANISA
18,18347,MUKAA
18,18348,MAKINDU
19,19308,MERU SOUTH
19,19313,THARAKA SOUTH
19,19326,MAARA
19,19342,THARAKA NORTH
20,20401,MAKADARA
20,20402,KAMUKUNJI
20,20403,STAREHE
20,20404,LANGATA
20,20405,DAGORETTI
20,20406,WESTLANDS
20,20407,KASARANI
20,20408,EMBAKASI
20,20409,NJIRU
21,21501,TURKANA CENTRAL

